"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
North America,2070299,+3872,124899,+171,739645,1205755,19376,0,0,0,0,0,North America
South America,878334,+390,40084,+3,352685,485565,11321,0,0,0,0,0,South America
Europe,2019781,0,173726,0,987080,858975,8766,0,0,0,0,0,Europe
Asia,1136848,+51,30778,+1,694883,411187,13593,0,0,0,0,0,Asia
Africa,148964,+189,4245,0,63569,81150,344,0,0,0,0,0,Africa
Oceania,8811,+7,125,0,8200,486,3,0,0,0,0,0,Australia/Oceania
World,6263758,+4509,373872,+175,2846713,3043173,53407,804,48.0,0,0,0,All
USA,1837170,0,106195,0,599867,1131108,17075,5553,321,17672567,53417,330843477,North America
Brazil,514849,0,29314,0,206555,278980,8318,2424,138,930013,4378,212434518,South America
Russia,405843,0,4693,0,171883,229267,2300,2781,32,10643124,72933,145929507,Europe
Spain,286509,0,27127,0,196958,62424,617,6128,580,4063843,86921,46753345,Europe
UK,274762,0,38489,0,134278,116851,1559,4049,567,4285738,63158,67856881,Europe
Italy,232997,0,33415,0,157507,42075,435,3853,553,3878739,64144,60468778,Europe
India,190609,0,5408,0,91852,93349,8944,138,4,3737027,2710,1378863296,Asia
France,188882,0,28802,0,68355,91725,1319,2894,441,1384633,21217,65261942,Europe
Germany,183494,0,8605,0,165200,9689,702,2191,103,3952971,47193,83762346,Europe
Peru,164476,0,4506,0,67208,92762,988,4994,137,1058874,32153,32932217,South America
Turkey,163942,0,4540,0,127973,31429,648,1946,54,2039194,24201,84262291,Asia
Iran,151466,0,7797,0,118848,24821,2527,1805,93,935894,11155,83900826,Asia
Chile,99688,0,1054,0,42727,55907,1383,5219,55,582440,30490,19102509,South America
Canada,90947,0,7295,0,48879,34773,1641,2411,193,1665831,44169,37714510,North America
Mexico,90664,+3152,9930,+151,64326,16408,378,704,77,270992,2104,128818338,North America
Saudi Arabia,85261,0,503,0,62442,22316,384,2452,14,822769,23666,34766601,Asia
Pakistan,69496,0,1483,0,25271,42742,111,315,7,547030,2481,220509385,Asia
Belgium,58381,0,9467,0,15887,33027,168,5039,817,866497,74791,11585527,Europe
Qatar,56910,0,38,0,30290,26582,232,19783,13,222069,77194,2876776,Asia
Bangladesh,47153,0,650,0,9781,36722,1,287,4,308940,1877,164551275,Asia
Netherlands,46442,0,5956,0,22697,19751,159,2711,348,349150,20380,17131835,Europe
Belarus,42556,0,235,0,18514,23807,92,4503,25,541093,57261,9449568,Europe
Ecuador,39098,0,3358,0,19592,16148,220,2219,191,117422,6664,17619752,South America
Sweden,37542,0,4395,0,4971,28176,228,3719,435,238800,23657,10094088,Europe
Singapore,34884,0,23,0,21699,13162,8,5967,4,334691,57246,5846520,Asia
UAE,34557,0,264,0,17932,16361,1,3498,27,2110493,213608,9880208,Asia
South Africa,32683,0,683,0,16809,15191,128,552,12,725125,12239,59244691,Africa
Portugal,32500,0,1410,0,19409,11681,64,3187,138,812415,79656,10199012,Europe
Switzerland,30862,0,1920,0,28500,442,28,3568,222,397691,45979,8649383,Europe
Colombia,29383,0,939,0,8543,19901,136,578,18,319779,6290,50837039,South America
Kuwait,27043,0,212,0,11386,15445,200,6341,50,290013,67997,4265091,Asia
Indonesia,26473,0,1613,0,7308,17552,0,97,6,323376,1183,273279215,Asia
Ireland,24990,0,1652,0,22089,1249,36,5066,335,325795,66043,4933108,Europe
Egypt,24985,0,959,0,6037,17989,41,245,9,135000,1321,102162663,Africa
Poland,23786,0,1064,0,11271,11451,160,628,28,915546,24189,37849860,Europe
Ukraine,23672,0,708,0,9538,13426,278,541,16,356565,8149,43753702,Europe
Romania,19257,0,1266,0,13256,4735,160,1000,66,439197,22819,19247388,Europe
Philippines,18086,0,957,0,3909,13220,73,165,9,347592,3176,109455699,Asia
Dominican Republic,17285,0,502,0,10559,6224,110,1595,46,81647,7533,10838750,North America
Israel,17071,0,285,0,14812,1974,39,1856,31,568452,61804,9197590,Asia
Japan,16851,0,891,0,14459,1501,119,133,7,290436,2296,126506424,Asia
Argentina,16851,0,539,0,5336,10976,259,373,12,160070,3544,45161038,South America
Austria,16731,0,668,0,15593,470,27,1859,74,448534,49825,9002188,Europe
Afghanistan,15205,0,257,0,1328,13620,19,391,7,38460,990,38848565,Asia
Panama,13463,0,336,0,9514,3613,79,3125,78,67730,15719,4308839,North America
Denmark,11669,0,574,0,10362,733,20,2015,99,628965,108619,5790554,Europe
S. Korea,11503,+35,271,+1,10422,810,15,224,5,921391,17973,51265682,Asia
Oman,11437,0,49,0,2682,8706,31,2245,10,100181,19664,5094596,Asia
Serbia,11412,0,243,0,6698,4471,10,1306,28,245985,28144,8740077,Europe
Bahrain,11398,0,19,0,6673,4706,12,6721,11,314823,185651,1695780,Asia
Kazakhstan,10858,0,40,0,5404,5414,62,579,2,812881,43336,18757562,Asia
Nigeria,10162,0,287,0,3007,6868,7,49,1,60825,296,205668183,Africa
Bolivia,9982,+390,313,+3,968,8701,3,856,27,28239,2422,11659305,South America
Algeria,9394,0,653,0,5748,2993,23,215,15,0,0,43780936,Africa
Armenia,9282,0,131,0,3386,5765,10,3133,44,58065,19598,2962800,Asia
Czechia,9268,0,320,0,6558,2390,15,866,30,439744,41069,10707393,Europe
Norway,8440,0,236,0,7727,477,8,1558,44,245352,45287,5417721,Europe
Moldova,8251,0,295,0,4581,3375,251,2045,73,40565,10054,4034692,Europe
Ghana,8070,+189,36,0,2947,5087,3,260,1,218425,7043,31014508,Africa
Malaysia,7819,0,115,0,6353,1351,9,242,4,553183,17110,32330462,Asia
Morocco,7807,0,205,0,5459,2143,18,212,6,209139,5672,36873293,Africa
Australia,7202,+7,103,0,6618,481,3,283,4,1471969,57782,25474721,Australia/Oceania
Finland,6859,0,320,0,5500,1039,10,1238,58,184408,33286,5540033,Europe
