Country,Date,Continent,TotalCases,TotalDeaths
Afghanistan,2020-02-15,Asia,0,0
Afghanistan,2020-02-16,Asia,0,0
Afghanistan,2020-02-17,Asia,0,0
Afghanistan,2020-02-18,Asia,0,0
Afghanistan,2020-02-19,Asia,0,0
Afghanistan,2020-02-20,Asia,0,0
Afghanistan,2020-02-21,Asia,0,0
Afghanistan,2020-02-22,Asia,0,0
Afghanistan,2020-02-23,Asia,0,0
Afghanistan,2020-02-24,Asia,1,0
Afghanistan,2020-02-25,Asia,1,0
Afghanistan,2020-02-26,Asia,1,0
Afghanistan,2020-02-27,Asia,1,0
Afghanistan,2020-02-28,Asia,1,0
Afghanistan,2020-02-29,Asia,1,0
Afghanistan,2020-03-01,Asia,1,0
Afghanistan,2020-03-02,Asia,1,0
Afghanistan,2020-03-03,Asia,1,0
Afghanistan,2020-03-04,Asia,1,0
Afghanistan,2020-03-05,Asia,1,0
Afghanistan,2020-03-06,Asia,1,0
Afghanistan,2020-03-07,Asia,4,0
Afghanistan,2020-03-08,Asia,4,0
Afghanistan,2020-03-09,Asia,4,0
Afghanistan,2020-03-10,Asia,5,0
Afghanistan,2020-03-11,Asia,7,0
Afghanistan,2020-03-12,Asia,7,0
Afghanistan,2020-03-13,Asia,7,0
Afghanistan,2020-03-14,Asia,11,0
Afghanistan,2020-03-15,Asia,16,0
Afghanistan,2020-03-16,Asia,21,0
Afghanistan,2020-03-17,Asia,22,0
Afghanistan,2020-03-18,Asia,22,0
Afghanistan,2020-03-19,Asia,22,0
Afghanistan,2020-03-20,Asia,24,0
Afghanistan,2020-03-21,Asia,24,0
Afghanistan,2020-03-22,Asia,40,1
Afghanistan,2020-03-23,Asia,40,1
Afghanistan,2020-03-24,Asia,74,1
Afghanistan,2020-03-25,Asia,84,2
Afghanistan,2020-03-26,Asia,94,4
Afghanistan,2020-03-27,Asia,110,4
Afghanistan,2020-03-28,Asia,110,4
Afghanistan,2020-03-29,Asia,120,4
Afghanistan,2020-03-30,Asia,170,4
Afghanistan,2020-03-31,Asia,174,4
Afghanistan,2020-04-01,Asia,237,4
Afghanistan,2020-04-02,Asia,273,6
Afghanistan,2020-04-03,Asia,281,6
Afghanistan,2020-04-04,Asia,309,7
Afghanistan,2020-04-05,Asia,349,7
Afghanistan,2020-04-06,Asia,367,11
Afghanistan,2020-04-07,Asia,423,14
Afghanistan,2020-04-08,Asia,444,14
Afghanistan,2020-04-09,Asia,484,15
Afghanistan,2020-04-10,Asia,521,15
Afghanistan,2020-04-11,Asia,555,18
Afghanistan,2020-04-12,Asia,607,18
Afghanistan,2020-04-13,Asia,665,21
Afghanistan,2020-04-14,Asia,714,23
Afghanistan,2020-04-15,Asia,784,25
Afghanistan,2020-04-16,Asia,840,30
Afghanistan,2020-04-17,Asia,906,30
Afghanistan,2020-04-18,Asia,933,30
Afghanistan,2020-04-19,Asia,996,33
Afghanistan,2020-04-20,Asia,1026,36
Afghanistan,2020-04-21,Asia,1092,36
Afghanistan,2020-04-22,Asia,1176,40
Afghanistan,2020-04-23,Asia,1279,42
Afghanistan,2020-04-24,Asia,1351,43
Afghanistan,2020-04-25,Asia,1463,47
Afghanistan,2020-04-26,Asia,1531,50
Afghanistan,2020-04-27,Asia,1703,57
Afghanistan,2020-04-28,Asia,1828,58
Afghanistan,2020-04-29,Asia,1939,60
Afghanistan,2020-04-30,Asia,2171,64
Afghanistan,2020-05-01,Asia,2335,68
Afghanistan,2020-05-02,Asia,2469,72
Afghanistan,2020-05-03,Asia,2704,85
Afghanistan,2020-05-04,Asia,2894,90
