Country,Date,TotalCases,TotalDeaths
Algeria,2020-02-15,0,0
Algeria,2020-02-16,0,0
Algeria,2020-02-17,0,0
Algeria,2020-02-18,0,0
Algeria,2020-02-19,0,0
Algeria,2020-02-20,0,0
Algeria,2020-02-21,0,0
Algeria,2020-02-22,0,0
Algeria,2020-02-23,0,0
Algeria,2020-02-24,0,0
Algeria,2020-02-25,1,0
Algeria,2020-02-26,1,0
Algeria,2020-02-27,1,0
Algeria,2020-02-28,1,0
Algeria,2020-02-29,1,0
Algeria,2020-03-01,3,0
Algeria,2020-03-02,5,0
Algeria,2020-03-03,8,0
Algeria,2020-03-04,17,0
Algeria,2020-03-05,17,0
Algeria,2020-03-06,17,0
Algeria,2020-03-07,19,0
Algeria,2020-03-08,20,0
Algeria,2020-03-09,20,0
Algeria,2020-03-10,20,0
Algeria,2020-03-11,20,0
Algeria,2020-03-12,26,2
Algeria,2020-03-13,26,2
Algeria,2020-03-14,39,3
Algeria,2020-03-15,54,4
Algeria,2020-03-16,60,4
Algeria,2020-03-17,61,5
Algeria,2020-03-18,75,7
Algeria,2020-03-19,90,9
Algeria,2020-03-20,94,11
Algeria,2020-03-21,139,15
Algeria,2020-03-22,201,17
Algeria,2020-03-23,230,17
Algeria,2020-03-24,264,19
Algeria,2020-03-25,302,21
Algeria,2020-03-26,367,25
Algeria,2020-03-27,409,26
Algeria,2020-03-28,454,29
Algeria,2020-03-29,511,31
Algeria,2020-03-30,584,35
Algeria,2020-03-31,716,44
Algeria,2020-04-01,847,58
Algeria,2020-04-02,986,86
Algeria,2020-04-03,1171,105
Algeria,2020-04-04,1251,130
Algeria,2020-04-05,1320,152
Algeria,2020-04-06,1423,173
Algeria,2020-04-07,1468,193
Algeria,2020-04-08,1572,205
Algeria,2020-04-09,1666,235
Algeria,2020-04-10,1761,256
Algeria,2020-04-11,1825,275
Algeria,2020-04-12,1914,293
Algeria,2020-04-13,1983,313
Algeria,2020-04-14,2070,326
Algeria,2020-04-15,2160,336
Argentina,2020-02-15,0,0
Argentina,2020-02-16,0,0
Argentina,2020-02-17,0,0
Argentina,2020-02-18,0,0
Argentina,2020-02-19,0,0
Argentina,2020-02-20,0,0
Argentina,2020-02-21,0,0
Argentina,2020-02-22,0,0
Argentina,2020-02-23,0,0
Argentina,2020-02-24,0,0
Argentina,2020-02-25,0,0
Argentina,2020-02-26,0,0
Argentina,2020-02-27,0,0
Argentina,2020-02-28,0,0
Argentina,2020-02-29,0,0
Argentina,2020-03-01,0,0
Argentina,2020-03-02,0,0
Argentina,2020-03-03,1,0
Argentina,2020-03-04,1,0
Argentina,2020-03-05,2,0
Argentina,2020-03-06,8,0
Argentina,2020-03-07,9,1
Argentina,2020-03-08,12,1
Argentina,2020-03-09,17,1
Argentina,2020-03-10,19,1
Argentina,2020-03-11,21,1
Argentina,2020-03-12,31,1
Argentina,2020-03-13,34,2
Argentina,2020-03-14,45,2
Argentina,2020-03-15,56,2
Argentina,2020-03-16,65,2
Argentina,2020-03-17,79,2
Argentina,2020-03-18,97,2
Argentina,2020-03-19,128,3
Argentina,2020-03-20,158,3
Argentina,2020-03-21,158,4
Argentina,2020-03-22,266,4
Argentina,2020-03-23,301,4
Argentina,2020-03-24,387,6
Argentina,2020-03-25,502,8
Argentina,2020-03-26,589,12
Argentina,2020-03-27,589,13
Argentina,2020-03-28,745,19
Argentina,2020-03-29,820,20
Argentina,2020-03-30,820,23
Argentina,2020-03-31,1054,27
Argentina,2020-04-01,1133,32
Argentina,2020-04-02,1265,36
Argentina,2020-04-03,1353,42
Argentina,2020-04-04,1451,43
Argentina,2020-04-05,1554,46
Argentina,2020-04-06,1628,53
Argentina,2020-04-07,1715,60
Argentina,2020-04-08,1795,65
Argentina,2020-04-09,1894,79
Argentina,2020-04-10,1975,82
Argentina,2020-04-11,2142,89
Argentina,2020-04-12,2142,90
Argentina,2020-04-13,2277,98
Argentina,2020-04-14,2277,102
Argentina,2020-04-15,2571,112
Armenia,2020-02-15,0,0
Armenia,2020-02-16,0,0
Armenia,2020-02-17,0,0
Armenia,2020-02-18,0,0
Armenia,2020-02-19,0,0
Armenia,2020-02-20,0,0
Armenia,2020-02-21,0,0
Armenia,2020-02-22,0,0
Armenia,2020-02-23,0,0
Armenia,2020-02-24,0,0
Armenia,2020-02-25,0,0
