Country,Date,Continent,TotalCases,TotalDeaths
S. Korea,2020-01-20,Asia,1,0
S. Korea,2020-01-21,Asia,1,0
S. Korea,2020-01-22,Asia,1,0
S. Korea,2020-01-23,Asia,2,0
S. Korea,2020-01-24,Asia,2,0
S. Korea,2020-01-25,Asia,2,0
S. Korea,2020-01-26,Asia,4,0
S. Korea,2020-01-27,Asia,4,0
S. Korea,2020-01-28,Asia,4,0
S. Korea,2020-01-29,Asia,4,0
S. Korea,2020-01-30,Asia,11,0
S. Korea,2020-01-31,Asia,12,0
S. Korea,2020-02-01,Asia,15,0
S. Korea,2020-02-02,Asia,15,0
S. Korea,2020-02-03,Asia,16,0
S. Korea,2020-02-04,Asia,18,0
S. Korea,2020-02-05,Asia,23,0
S. Korea,2020-02-06,Asia,24,0
S. Korea,2020-02-07,Asia,24,0
S. Korea,2020-02-08,Asia,27,0
S. Korea,2020-02-09,Asia,28,0
S. Korea,2020-02-10,Asia,28,0
S. Korea,2020-02-11,Asia,28,0
S. Korea,2020-02-12,Asia,28,0
S. Korea,2020-02-13,Asia,28,0
S. Korea,2020-02-14,Asia,28,0
Japan,2020-01-20,Asia,1,0
Japan,2020-01-21,Asia,1,0
Japan,2020-01-22,Asia,1,0
Japan,2020-01-23,Asia,1,0
Japan,2020-01-24,Asia,3,0
Japan,2020-01-25,Asia,3,0
Japan,2020-01-26,Asia,4,0
Japan,2020-01-27,Asia,6,0
Japan,2020-01-28,Asia,7,0
Japan,2020-01-29,Asia,11,0
Japan,2020-01-30,Asia,14,0
Japan,2020-01-31,Asia,17,0
Japan,2020-02-01,Asia,20,0
Japan,2020-02-02,Asia,20,0
Japan,2020-02-03,Asia,20,0
Japan,2020-02-04,Asia,33,0
Japan,2020-02-05,Asia,25,0
Japan,2020-02-06,Asia,25,0
Japan,2020-02-07,Asia,25,0
Japan,2020-02-08,Asia,26,0
Japan,2020-02-09,Asia,26,0
Japan,2020-02-10,Asia,26,0
Japan,2020-02-11,Asia,28,0
Japan,2020-02-12,Asia,29,0
Japan,2020-02-13,Asia,33,1
Japan,2020-02-14,Asia,41,1
USA,2020-01-20,North America,0,0
USA,2020-01-21,North America,0,0
USA,2020-01-22,North America,1,0
USA,2020-01-23,North America,1,0
USA,2020-01-24,North America,2,0
USA,2020-01-25,North America,2,0
USA,2020-01-26,North America,5,0
USA,2020-01-27,North America,5,0
USA,2020-01-28,North America,5,0
USA,2020-01-29,North America,5,0
USA,2020-01-30,North America,6,0
USA,2020-01-31,North America,7,0
USA,2020-02-01,North America,8,0
USA,2020-02-02,North America,11,0
USA,2020-02-03,North America,11,0
USA,2020-02-04,North America,11,0
USA,2020-02-05,North America,12,0
USA,2020-02-06,North America,12,0
USA,2020-02-07,North America,12,0
USA,2020-02-08,North America,12,0
USA,2020-02-09,North America,13,0
USA,2020-02-10,North America,13,0
USA,2020-02-11,North America,13,0
USA,2020-02-12,North America,14,0
USA,2020-02-13,North America,15,0
USA,2020-02-14,North America,15,0
Italy,2020-01-20,Europe,0,0
Italy,2020-01-21,Europe,0,0
Italy,2020-01-22,Europe,0,0
Italy,2020-01-23,Europe,0,0
Italy,2020-01-24,Europe,0,0
Italy,2020-01-25,Europe,0,0
Italy,2020-01-26,Europe,0,0
Italy,2020-01-27,Europe,0,0
Italy,2020-01-28,Europe,0,0
Italy,2020-01-29,Europe,0,0
Italy,2020-01-30,Europe,2,0
Italy,2020-01-31,Europe,2,0
Italy,2020-02-01,Europe,2,0
Italy,2020-02-02,Europe,2,0
Italy,2020-02-03,Europe,2,0
Italy,2020-02-04,Europe,2,0
Italy,2020-02-05,Europe,2,0
Italy,2020-02-06,Europe,3,0
Italy,2020-02-07,Europe,3,0
Italy,2020-02-08,Europe,3,0
Italy,2020-02-09,Europe,3,0
Italy,2020-02-10,Europe,3,0
Italy,2020-02-11,Europe,3,0
Italy,2020-02-12,Europe,3,0
Italy,2020-02-13,Europe,3,0
Italy,2020-02-14,Europe,3,0
Spain,2020-01-20,Europe,0,0
Spain,2020-01-21,Europe,0,0
Spain,2020-01-22,Europe,0,0
Spain,2020-01-23,Europe,0,0
Spain,2020-01-24,Europe,0,0
Spain,2020-01-25,Europe,0,0
Spain,2020-01-26,Europe,0,0
Spain,2020-01-27,Europe,0,0
Spain,2020-01-28,Europe,0,0
Spain,2020-01-29,Europe,0,0
Spain,2020-01-30,Europe,0,0
Spain,2020-01-31,Europe,1,0
Spain,2020-02-01,Europe,1,0
Spain,2020-02-02,Europe,1,0
Spain,2020-02-03,Europe,1,0
Spain,2020-02-04,Europe,1,0
Spain,2020-02-05,Europe,1,0
Spain,2020-02-06,Europe,1,0
Spain,2020-02-07,Europe,1,0
Spain,2020-02-08,Europe,1,0
Spain,2020-02-09,Europe,2,0
Spain,2020-02-10,Europe,2,0
Spain,2020-02-11,Europe,2,0
Spain,2020-02-12,Europe,2,0
Spain,2020-02-13,Europe,2,0
Spain,2020-02-14,Europe,2,0
China,2020-01-20,Asia,278,0
China,2020-01-21,Asia,310,0
Germany,2020-01-20,Europe,0,0
Germany,2020-01-21,Europe,0,0
Germany,2020-01-22,Europe,0,0
Germany,2020-01-23,Europe,0,0
Germany,2020-01-24,Europe,0,0
Germany,2020-01-25,Europe,0,0
Germany,2020-01-26,Europe,0,0
Germany,2020-01-27,Europe,1,0
Germany,2020-01-28,Europe,4,0
Germany,2020-01-29,Europe,4,0
Germany,2020-01-30,Europe,5,0
Germany,2020-01-31,Europe,7,0
Germany,2020-02-01,Europe,8,0
Germany,2020-02-02,Europe,10,0
Germany,2020-02-03,Europe,12,0
Germany,2020-02-04,Europe,12,0
Germany,2020-02-05,Europe,12,0
Germany,2020-02-06,Europe,13,0
Germany,2020-02-07,Europe,14,0
Germany,2020-02-08,Europe,14,0
Germany,2020-02-09,Europe,14,0
Germany,2020-02-10,Europe,14,0
Germany,2020-02-11,Europe,16,0
Germany,2020-02-12,Europe,16,0
Germany,2020-02-13,Europe,16,0
Germany,2020-02-14,Europe,16,0
France,2020-01-20,Europe,0,0
France,2020-01-21,Europe,0,0
France,2020-01-22,Europe,0,0
France,2020-01-23,Europe,0,0
France,2020-01-24,Europe,3,0
France,2020-01-25,Europe,3,0
France,2020-01-26,Europe,3,0
France,2020-01-27,Europe,3,0
France,2020-01-28,Europe,4,0
France,2020-01-29,Europe,5,0
France,2020-01-30,Europe,6,0
France,2020-01-31,Europe,6,0
France,2020-02-01,Europe,6,0
France,2020-02-02,Europe,6,0
France,2020-02-03,Europe,6,0
France,2020-02-04,Europe,6,0
France,2020-02-05,Europe,6,0
France,2020-02-06,Europe,6,0
France,2020-02-07,Europe,6,0
France,2020-02-08,Europe,11,0
France,2020-02-09,Europe,11,0
France,2020-02-10,Europe,11,0
France,2020-02-11,Europe,11,0
